video_id,trending_date,views,view_growth,view_growth_pct,view_velocity,engagement_rate,emerging_trend_score,emerging_status,trend_alert
k1KiS3GHTrE,2018-03-23,1406715,271733.0,23.941613170957776,0.23941613170957776,0.2829286671429536,32.244308053800026,Normal,False
NiFdy0NJuvY,2017-12-30,674772,112901.0,20.093758175809036,0.20093758175809037,0.42858921235617364,32.24298465942851,Normal,False
KLzxAcniALE,2018-02-18,321147,64204.0,24.987643173777844,0.24987643173777843,0.24443634846347623,32.23979770971749,Normal,False
7BQWaxwWM2E,2017-12-26,1000529,107461.0,12.032790336234195,0.12032790336234195,0.9201132600854148,32.23967954950575,Normal,False
FepIkIILumA,2018-05-09,11386222,0.0,0.0,0.0,3.7524650406429805,32.22485888294712,Normal,False
EnfoA2fF6GY,2018-01-07,9750403,492573.0,5.320609689311643,0.05320609689311642,2.2795365483867696,32.22209730999838,Normal,False
yHRlVjx3tGk,2018-06-10,4933151,749321.0,17.909929418738333,0.17909929418738332,0.522222003745679,32.219440393237186,Normal,False
YHXIKYZR9HE,2018-03-09,482957,102501.0,26.941617427508042,0.2694161742750804,0.180347318705392,32.21389699130341,Normal,False
4BjTHvJZ8IQ,2018-02-14,7043143,437960.0,6.6305505842911545,0.06630550584291155,1.8834347108954055,32.213191406039,Normal,False
ntjZEBobMec,2018-04-21,1255687,177738.0,16.48853517188661,0.1648853517188661,0.5913097770383862,32.21118943445147,Normal,False
IB2o3ZJ91ho,2018-06-08,2176191,269955.0,14.161677777567942,0.1416167777756794,0.727188008773127,32.208978150488846,Normal,False
4mB0xAi1iEA,2018-04-03,739385,101372.0,15.888704462134784,0.15888704462134784,0.6220034217626812,32.206972802895265,Normal,False
5T5w0Vpf5U4,2018-03-13,1148314,201108.0,21.231706724830712,0.21231706724830712,0.38290920427687897,32.20386350132339,Normal,False
